"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",58971230,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4251623,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",122877,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1509140,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10012054,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1082702,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4852216,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1194616,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4451938,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3660530,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",853068,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1482746,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5714745,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1269571,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",289224,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5593906,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3890661,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",533233,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1838568,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4797359,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1570453,,
